disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Honduras,2020,0,OWID
COVID_001,COVID-19,Honduras,2021,0,OWID
COVID_001,COVID-19,Honduras,2022,0,OWID
COVID_001,COVID-19,Honduras,2023,2230,OWID
COVID_001,COVID-19,Honduras,2024,0,OWID
COVID_001,COVID-19,Hungary,2020,0,OWID
COVID_001,COVID-19,Hungary,2021,0,OWID
COVID_001,COVID-19,Hungary,2022,0,OWID
COVID_001,COVID-19,Hungary,2023,4397,OWID
COVID_001,COVID-19,Hungary,2024,0,OWID
COVID_001,COVID-19,Iceland,2020,0,OWID
COVID_001,COVID-19,Iceland,2021,0,OWID
COVID_001,COVID-19,Iceland,2022,0,OWID
COVID_001,COVID-19,Iceland,2023,223,OWID
COVID_001,COVID-19,Iceland,2024,0,OWID
COVID_001,COVID-19,India,2020,0,OWID
COVID_001,COVID-19,India,2021,0,OWID
COVID_001,COVID-19,India,2022,0,OWID
COVID_001,COVID-19,India,2023,1543,OWID
COVID_001,COVID-19,India,2024,0,OWID
COVID_001,COVID-19,Indonesia,2020,0,OWID
COVID_001,COVID-19,Indonesia,2021,0,OWID
COVID_001,COVID-19,Indonesia,2022,0,OWID
COVID_001,COVID-19,Indonesia,2023,4057,OWID
COVID_001,COVID-19,Indonesia,2024,0,OWID
COVID_001,COVID-19,Iran,2020,0,OWID
COVID_001,COVID-19,Iran,2021,0,OWID
COVID_001,COVID-19,Iran,2022,0,OWID
COVID_001,COVID-19,Iran,2023,409,OWID
