indicator_code,indicator_name,spatial_dim_type,spatial_dim,time_dim_type,time_dim,time_dim_value,dim1_type,dim1,dim2_type,dim2,dim3_type,dim3,data_source,value,numeric_value,low,high,comments,date_added,scraped_at
TB_notif_num,,COUNTRY,MNE,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,61,61.0,,,,,2026-06-15T20:42:33.809457
TB_notif_num,,COUNTRY,GBR,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,2263,2263.0,,,,,2026-06-15T20:42:33.809469
TB_notif_num,,COUNTRY,UKR,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,12 256,12256.0,,,,,2026-06-15T20:42:33.809518
TB_notif_num,,COUNTRY,CAN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,0,0.0,,,,,2026-06-15T20:42:33.809532
TB_notif_num,,COUNTRY,LSO,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,389,389.0,,,,,2026-06-15T20:42:33.809538
TB_notif_num,,COUNTRY,CUW,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,0,0.0,,,,,2026-06-15T20:42:33.809590
TB_notif_num,,COUNTRY,CHN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,28 527,28527.0,,,,,2026-06-15T20:42:33.809611
TB_notif_num,,COUNTRY,BFA,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,7194,7194.0,,,,,2026-06-15T20:42:33.809621
TB_notif_num,,COUNTRY,MKD,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,,,,,,17,17.0,,,,,2026-06-15T20:42:33.809648
TB_notif_num,,COUNTRY,POL,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,3704,3704.0,,,,,2026-06-15T20:42:33.809683
TB_notif_num,,COUNTRY,MKD,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,108,108.0,,,,,2026-06-15T20:42:33.809689
TB_notif_num,,COUNTRY,NZL,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,309,309.0,,,,,2026-06-15T20:42:33.809705
TB_notif_num,,COUNTRY,LTU,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,52,52.0,,,,,2026-06-15T20:42:33.809721
TB_notif_num,,COUNTRY,MNG,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,2709,2709.0,,,,,2026-06-15T20:42:33.809761
TB_notif_num,,COUNTRY,PNG,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,13 617,13617.0,,,,,2026-06-15T20:42:33.809802
